# ABCx3 canonical Hungarian classic-tile lexicon v1
# key=base64url one-byte token identifiers; value=NFC surface
# Compatibility aliases first; preferred physical spelling follows.
AhERJAIVFQI	állvánnyá
AhEaAh4WHR0C	álpátosszá
AhQLCwER	ánggyal
AhQLCwI	ánggyá
AhQNJiYBEQ	ánizzsal
AhQNJiYC	ánizzsá
AhsBBhMCFRUC	áradmánnyá
AhsBGgISEgER	árapállyal
AhsBGgISEgI	árapállyá
AhsBGwIVFQER	áraránnyal
AhsBGwIVFQI	áraránnyá
AhsBHR0	árassz
AhsBHR0B	árassza
AhsBHR0BBg	árasszad
AhsBHR0BEA	árasszak
AhsBHR0BEQEQ	árasszalak
AhsBHR0BEw	árasszam
AhsBHR0BFAEQ	árasszanak
AhsBHR0BHhYQ	árasszatok
AhsBHR0CEA	árasszák
AhsBHR0CEQ	árasszál
AhsBHR0CHhYQ	árasszátok
AhsBHR0WFA	árasszon
AhsBHR0gEA	árasszuk
AhsBHR0gFBA	árasszunk
AhsQAh0dARE	árkásszal
AhsQAh0dAg	árkásszá
AhsTAhUVARE	ármánnyal
AhsTAhUVAg	ármánnyá
AhsVFQER	árnnyal
AhsVFQI	árnnyá
AhseAhUVARE	ártánnyal
AhseAhUVAg	ártánnyá
AhsgDwcLCwcR	árujeggyel
AhsgDwcLCwg	árujeggyé
AhskASILCwcR	árvaüggyel
AhskASILCwg	árvaüggyé
AhwkAhUVARE	ásvánnyal
AhwkAhUVAg	ásvánnyá
Ah0dARE	ásszal
Ah0dAg	ásszá
Ah4BEQIVFQER	átalánnyal
Ah4BEQIVFQI	átalánnyá
Ah4BESAdHQE	átalussza
Ah4BESAdHQIQ	átalusszák
Ah4DAR0dAQ	átbassza
Ah4DAR0dAhA	átbasszák
Ah4DAR8fFgo	átbattyog
Ah4FIB0dARQ	átcsusszan
Ah4FIR0dCBA	átcsússzék
Ah4FIR0dFhQ	átcsússzon
Ah4HGwcdHQc	áteressze
Ah4HGwcdHQcR	áteresszel
Ah4HGwcdHQg	áteresszé
Ah4HGwcdHQgQ	áteresszék
Ah4NHR0B	átissza
Ah4PAh4dHQE	átjátssza
Ah4PAh4dHQIQ	átjátsszák
Ah4PAh4dHSAQ	átjátsszuk
Ah4PGB0d	átjössz
Ah4QIR0dARA	átkússzak
Ah4TAh0dAQ	átmássza
Ah4TAh0dARA	átmásszak
Ah4TAh0dAhE	átmásszál
Ah4TAh0dFhQ	átmásszon
Ah4TAh0dIBQQ	átmásszunk
Ah4TBx4dHSIQ	átmetsszük
Ah4aAR0dFhE	átpasszol
Ah4aAR0dFhEe	átpasszolt
Ah4eBx0dIhA	áttesszük
Ah4eBx4dHQcU	áttetsszen
Ah4gChsBHR0	átugrassz
Ah4hHR0B	átússza
